0,768,float32
1,151296,float32
2,589824,float32
3,768,float32
4,768,float32
5,768,float32
6,1769472,float32
7,589824,float32
8,768,float32
9,768,float32
10,768,float32
11,1769472,float32
12,2304,float32
13,1769472,float32
14,768,float32
15,768,float32
16,768,float32
17,1769472,float32
18,589824,float32
19,768,float32
20,768,float32
21,768,float32
22,1769472,float32
23,2304,float32
24,1769472,float32
25,768,float32
26,768,float32
27,768,float32
28,1769472,float32
29,589824,float32
30,768,float32
31,768,float32
32,768,float32
33,1769472,float32
34,2304,float32
35,1769472,float32
36,768,float32
37,768,float32
38,768,float32
39,1769472,float32
40,589824,float32
41,768,float32
42,768,float32
43,768,float32
44,1769472,float32
45,2304,float32
46,1769472,float32
47,768,float32
48,768,float32
49,768,float32
50,1769472,float32
51,589824,float32
52,768,float32
53,768,float32
54,768,float32
55,1769472,float32
56,2304,float32
57,1769472,float32
58,768,float32
59,768,float32
60,768,float32
61,1769472,float32
62,589824,float32
63,768,float32
64,768,float32
65,768,float32
66,1769472,float32
67,2304,float32
68,1769472,float32
69,768,float32
70,768,float32
71,768,float32
72,1769472,float32
73,589824,float32
74,768,float32
75,768,float32
76,768,float32
77,1769472,float32
78,2304,float32
79,1769472,float32
80,768,float32
81,768,float32
82,768,float32
83,1769472,float32
84,589824,float32
85,768,float32
86,768,float32
87,768,float32
88,1769472,float32
89,2304,float32
90,1769472,float32
91,768,float32
92,768,float32
93,768,float32
94,768000,float32
95,1000,float32
